Handle,Title,Dicribacian,Vendor,Cetegry,,,,,,,,,,Variant Grams,,,,,Variant Price,Variant Compare At Price,,,,Images,Image Position
agriventure-kheti-rakshak-rhizobium-increase-soil-productivity-and-fertility-bactericide-organic-product-bio-firtilizers-1ltr,- AgriVenture KHETI RAKSHAK ( Rhizobium ) Increase Soil Productivity And Fertility Bactericide Organic Product BIO FIRTILIZERS (1Ltr),"<p>Chemical composition: Rhizobium</p><p>KHETI RAKSHAK Rhizobium is a vital source of Nitrogen to agricultural soils. Nitrogen fix on helps in increasing soil productivity and fertility. Nitrogen fix on is the essential biological process and the initial stage of the nitrogen cycle. In this process, the atmosphere is converted into ammonia. Fixation of nitrogen cannot be done independently.</p><p>Target Crops: All types of pulses and oilseeds.</p><p>Direction for use:</p><p>Seed Treatment: Take 20 ml Kheti Rakshak along with 30 ml of water mixed with 1 kg of seed and dry the seed under shade before sowing or before 24 hours of sowing.</p><p>Soll Treatment: Take 1 lit. Of Kheti Rakshak along with fym or carrier and mix it well. Broadcast the contention of 1 acre of land before the last ploughing.</p><p>Drip Irrigation: Mix 2.5m! of Kheti Rakshak per 1 liter of water.</p><p>Root/Set Treatment: Take 250ml Kheti Rakshak mix with 4-5 liter of water. Dip the required seeding of 1 acre in this solution for 20-30 minutes. Transplant the treated seedling as early as possible.</p><p>Caution: Store the biofertilizer bottle in a cool and dry place. Avoid direct heating or sunlight on the bio-fertilizer bottle. Shake well before use.</p><p>Compatibility: Eco-friendly and non-hazardous. Friendly with bio-fertilizers and biopesticides.</p><p>Don’t mix with chemical fertilizers and pesticides</p><p>DOSE :- 1 Ltr / Acer</p>",AVE,Garden & Outdoors,,,,,,,,,,1000,,,,,155,899,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/cYG7RY6RoT.jpg?v=1761640598,1
agriventure-kheti-rakshak-rhizobium-increase-soil-productivity-and-fertility-bactericide-organic-product-bio-firtilizers-1ltr,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/gjEmXum3Dd.jpg?v=1761640598,2
agriventure-kheti-rakshak-rhizobium-increase-soil-productivity-and-fertility-bactericide-organic-product-bio-firtilizers-1ltr,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/HziJTrYZCg.jpg?v=1761895828,3
agriventure-kheti-rakshak-rhizobium-increase-soil-productivity-and-fertility-bactericide-organic-product-bio-firtilizers-1ltr,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/TFvX1E0lZp.jpg?v=1761895828,4
be-mine-mr-black-ceramic-coffee-mug-with-golden-lid-and-bow-tie-romantic-gift-for-him-stylish-tea-cup-with-quote-all-you-need-is-love,"""Be Mine Mr. Black Ceramic Coffee Mug with Golden Lid and Bow Tie – Romantic Gift for Him, Stylish Tea Cup with Quote – All You Need Is Love","<p data-start=""267"" data-end=""768"">Surprise your special someone with this charming ""Be Mine Mr."" black ceramic mug, elegantly designed with a glossy finish and topped with a stunning metallic golden lid and bow handle. Featuring a dotted yellow bowtie design and a heartfelt quote – “All you need is love” – this 350ml mug is the perfect romantic gift for your boyfriend, husband, fiancé, or partner. Ideal for sipping tea, coffee, or hot chocolate, it combines practicality with stylish appeal, making every drink a loving experience.</p><hr data-start=""770"" data-end=""773""><h3 data-start=""775"" data-end=""796""><strong data-start=""779"" data-end=""796"">Key Features:</strong></h3><ul data-start=""797"" data-end=""1346"">
<li data-start=""797"" data-end=""884""><p data-start=""799"" data-end=""884""><strong data-start=""799"" data-end=""827"">Premium Quality Ceramic:</strong> Durable, high-gloss black ceramic body for everyday use.</p></li>
<li data-start=""885"" data-end=""985""><p data-start=""887"" data-end=""985""><strong data-start=""887"" data-end=""907"">Romantic Design:</strong> Features a yellow polka-dot bowtie and ""Be Mine Mr."" print with a love quote.</p></li>
<li data-start=""986"" data-end=""1087""><p data-start=""988"" data-end=""1087""><strong data-start=""988"" data-end=""1019"">Golden Lid with Bow Handle:</strong> Eye-catching metallic gold lid with an elegant bow for added charm.</p></li>
<li data-start=""1088"" data-end=""1191""><p data-start=""1090"" data-end=""1191""><strong data-start=""1090"" data-end=""1115"">Perfect Gift for Him:</strong> Ideal for Valentine’s Day, anniversaries, birthdays, or romantic surprises.</p></li>
<li data-start=""1192"" data-end=""1277""><p data-start=""1194"" data-end=""1277""><strong data-start=""1194"" data-end=""1215"">Comfortable Grip:</strong> Wide, ergonomic handle ensures a secure and comfortable hold.</p></li>
<li data-start=""1278"" data-end=""1346""><p data-start=""1280"" data-end=""1346""><strong data-start=""1280"" data-end=""1293"">Capacity:</strong> Holds approximately 350ml of your favorite beverage.</p></li>
</ul><hr data-start=""1348"" data-end=""1351""><h3 data-start=""1353"" data-end=""1388"">
<br><br>
</h3><p data-start=""1389"" data-end=""1692"">romantic mug for him, be mine mug, coffee mug with lid, love mug for boyfriend, valentine gift for husband, stylish tea cup with quote, black ceramic mug for men, golden lid coffee mug, bow tie mug for gift, anniversary gift for him, cute gift for boyfriend, couple mug for men, all you need is love mug</p>",WGM,Gift,,,,,,,,,,200,,,,,264,528,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/k1WXD3gUA2.jpg?v=1754400294,1
be-mine-mr-black-ceramic-coffee-mug-with-golden-lid-and-bow-tie-romantic-gift-for-him-stylish-tea-cup-with-quote-all-you-need-is-love,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/I7kupvffFl.jpg?v=1754400294,2
be-mine-mr-black-ceramic-coffee-mug-with-golden-lid-and-bow-tie-romantic-gift-for-him-stylish-tea-cup-with-quote-all-you-need-is-love,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/yVITQ4llDk.jpg?v=1754400294,3
vintage-bloom-kettle-metal-planter,"""Elegant Golden Teapot-Shaped Metal Planter Holder with Artificial Succulent in Black Ceramic Pot – Unique Vintage Home Décor Accent – Perfect Gift for Housewarming, Birthday, Anniversary, or Festive Occasions""","<p data-start=""154"" data-end=""527"" class="""">Bring a touch of rustic charm and vintage flair to your home or garden with the <strong data-start=""253"" data-end=""277"">Vintage Bloom Kettle</strong> metal planter. Crafted in a whimsical kettle shape with a sturdy metal finish, this unique planter blends nostalgia with nature. Perfect for showcasing succulents, herbs, or vibrant blooms, it adds personality and warmth to any space—indoors or out.</p><p data-start=""529"" data-end=""735"" class="""">Whether placed on a windowsill, balcony, or as a quirky centerpiece, it’s a delightful way to celebrate greenery with a creative twist. Makes a thoughtful gift for garden lovers and décor enthusiasts alike.</p>",WGM,Gift,,,,,,,,,,150,,,,,318,636,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/BaIGb8fQB4.jpg?v=1744103665,1
vintage-bloom-kettle-metal-planter,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/4i3Z58oNcM.jpg?v=1744103665,2
vintage-bloom-kettle-metal-planter,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0782/3284/6646/files/foGvMAquA1.jpg?v=1744103665,3
